[2013-04-10 16:32:00]INFO  server.aboutBot.Bot(line:410) -select * from b_teacherquestion where t_question2 regexp '(-=你好=-){1}'
[2013-04-10 16:32:00]INFO  server.aboutBot.Bot(line:234) -aboutUnknow
[2013-04-10 16:32:00]INFO  server.aboutBot.Answers(line:25) -答案集：[我不知道你想让我说什么呢。]
[2013-04-10 16:32:00]INFO  server.handle.Dispatcher(line:96) -send:1_木木::::我不知道你想让我说什么呢。
[2013-04-10 16:32:00]INFO  server.handle.Dispatcher(line:58) -使用时间为：4
[2013-04-10 16:32:03]INFO  server.handle.Dispatcher(line:55) -/127.0.0.1:57871receive:1_你好啊::::0::::-1::::0
[2013-04-10 16:32:03]INFO  server.aboutBot.Bot(line:282) -1 true
[2013-04-10 16:32:03]INFO  server.aboutBot.Bot(line:410) -select * from b_teacherquestion where t_question2 regexp '(-=你好=-){1}'
[2013-04-10 16:32:03]INFO  server.aboutBot.Bot(line:234) -aboutUnknow
[2013-04-10 16:32:03]INFO  server.aboutBot.Answers(line:25) -答案集：[none]
[2013-04-10 16:32:03]INFO  server.handle.Dispatcher(line:96) -send:1_木木::::none
[2013-04-10 16:32:03]INFO  server.handle.Dispatcher(line:58) -使用时间为：6
[2013-04-10 16:37:41]INFO  server.handle.Dispatcher(line:55) -/127.0.0.1:57928receive:1_你好::::1::::1::::1
[2013-04-10 16:37:42]INFO  server.aboutBot.Bot(line:282) -0 false
[2013-04-10 16:37:42]INFO  server.aboutBot.Bot(line:410) -select * from b_teacherquestion where t_question2 regexp '(-=你好=-){1}'
[2013-04-10 16:37:42]INFO  server.conn.Conn(line:88) -127.0.0.1数据库连接成功!
[2013-04-10 16:37:42]INFO  server.aboutBot.Answers(line:20) -插入Unknow回答我不知道你想让我说什么呢。
[2013-04-10 16:37:42]INFO  server.aboutBot.Bot(line:234) -aboutUnknow
[2013-04-10 16:37:42]INFO  server.aboutBot.Answers(line:25) -没有可回答答案，插入Unknow回答!
[2013-04-10 16:37:42]INFO  server.aboutBot.Answers(line:28) -答案集：[我不知道你想让我说什么呢。]
[2013-04-10 16:37:42]INFO  server.handle.Dispatcher(line:96) -send:1_木木::::我不知道你想让我说什么呢。
[2013-04-10 16:37:42]INFO  server.handle.Dispatcher(line:58) -使用时间为：569
[2013-04-10 16:37:46]INFO  server.handle.Dispatcher(line:55) -/127.0.0.1:57928receive:1_你好::::0::::-1::::0
[2013-04-10 16:37:46]INFO  server.aboutBot.Bot(line:282) -1 true
[2013-04-10 16:37:46]INFO  server.aboutBot.Bot(line:410) -select * from b_teacherquestion where t_question2 regexp '(-=你好=-){1}'
[2013-04-10 16:37:46]INFO  server.aboutBot.Answers(line:20) -插入Unknow回答我不知道你想让我说什么呢。
[2013-04-10 16:37:46]INFO  server.aboutBot.Bot(line:234) -aboutUnknow
[2013-04-10 16:37:46]INFO  server.aboutBot.Answers(line:28) -答案集：[none]
[2013-04-10 16:37:46]INFO  server.handle.Dispatcher(line:96) -send:1_木木::::none
[2013-04-10 16:37:46]INFO  server.handle.Dispatcher(line:58) -使用时间为：11
[2013-04-10 16:40:45]INFO  server.handle.Dispatcher(line:55) -/127.0.0.1:57952receive:1_你好::::1::::1::::1
[2013-04-10 16:40:45]INFO  server.aboutBot.Bot(line:282) -0 false
[2013-04-10 16:40:45]INFO  server.aboutBot.Bot(line:410) -select * from b_teacherquestion where t_question2 regexp '(-=你好=-){1}'
[2013-04-10 16:40:45]INFO  server.conn.Conn(line:88) -127.0.0.1数据库连接成功!
[2013-04-10 16:40:45]INFO  server.aboutBot.Answers(line:20) -插入Unknow回答我不知道你想让我说什么呢。
[2013-04-10 16:40:45]INFO  server.aboutBot.Bot(line:234) -aboutUnknow
[2013-04-10 16:40:45]INFO  server.aboutBot.Answers(line:25) -没有可回答答案，插入Unknow回答!
[2013-04-10 16:40:45]INFO  server.aboutBot.Answers(line:28) -答案集：1 [我不知道你想让我说什么呢。]
